x,y,z
-37.258,-74.304,-117.096
21.066,9.568,-35.952
9.697,5.373,-13.991
9.697,5.373,-13.991
23.756,16.101,-36.094
23.756,16.101,-36.094
86.901,64.883,-119.202
86.901,64.883,-119.202
20.045,16.79,-24.29
20.045,16.79,-24.29
26.323,22.219,-28.757
26.323,22.219,-28.757
27.296,26.885,-32.497
27.296,26.885,-32.497
2.839,3.381,-4.127
2.839,3.381,-4.127
21.799,33.76,-30.97
21.799,33.76,-30.97
28.005,43.729,-38.006
28.005,43.729,-38.006
19.462,40.754,-30.232
19.462,40.754,-30.232
30.61,68.78,-50.812
30.61,68.78,-50.812
20.075,51.992,-32.911
20.075,51.992,-32.911
8.889,13.539,-6.958
8.889,13.539,-6.958
54.323,73.271,-36.174
54.323,73.271,-36.174
56.38,66.905,-34.92
56.38,66.905,-34.92
17.349,17.715,-10.845
17.349,17.715,-10.845
10.171,8.927,-4.547
10.171,8.927,-4.547
29.293,28.393,-6.387
29.293,28.393,-6.387
23.685,27.206,-5.597
23.685,27.206,-5.597
1.899,2.541,-0.529
1.899,2.541,-0.529
5.007,7.37,-1.533
5.007,7.37,-1.533
74.322,194.425,-12.193
74.322,194.425,-12.193
54.856,162.771,-9.767
54.856,162.771,-9.767
19.238,63.815,-6.362
19.238,63.815,-6.362
6.156,26.586,-2.429
6.156,26.586,-2.429
59.992,265.917,-41.977
59.992,265.917,-41.977
11.406,30.58,-8.322
55.185,-116.944,40.712
77.994,-154.088,57.9
77.994,-154.088,57.9
52.685,-112.859,40.502
77.994,-154.088,57.9
41.183,-72.232,29.431
41.183,-72.232,29.431
23.389,-38.485,16.383
33.072,30.064,-28.37
8.33,9.257,-6.899
-5.266,31.714,9.461
-84.119,292.833,114.34
-84.119,292.833,114.34
-5.888,16.151,6.94
-5.888,16.151,6.94
-9.825,27.709,8.731
-9.825,27.709,8.731
-3.532,17.638,4.118
-5.888,16.151,6.94
-28.15,63.284,35.133
-28.15,63.284,35.133
-17.374,35.447,17.905
-28.15,63.284,35.133
-4.055,8.195,4.867
-28.15,63.284,35.133
-13.456,34.281,19.415
-13.456,34.281,19.415
-31.691,98.796,60.496
-31.691,98.796,60.496
-5.312,12.13,8.239
-31.691,98.796,60.496
-11.225,47.866,33.114
-31.691,98.796,60.496
-46.024,237.15,113.322
-46.024,237.15,113.322
-26.594,209.318,77.684
-46.024,237.15,113.322
-6.562,65.281,27.195
-6.562,65.281,27.195
-7.067,108.713,45.141
-7.067,108.713,45.141
-0.785,43.678,18.781
291.187,376.307,822.152
27.28,46.047,105.37
27.28,46.047,105.37
192.507,650.415,1548.354
291.187,376.307,822.152
20.315,31.999,112.189
20.315,31.999,112.189
192.507,650.415,1548.354
20.315,31.999,112.189
0.632,3.832,20.42
-18.985,78.789,-17.284
-34.881,122.13,-35.542
-34.881,122.13,-35.542
-245.261,981.189,-310.257
-245.261,981.189,-310.257
-0.494,2.477,-0.758
-0.494,2.477,-0.758
-285.015,1010.173,-463.662
-285.015,1010.173,-463.662
-129.733,421.761,-218.98
-129.733,421.761,-218.98
-80.393,237.475,-126.495
-80.393,237.475,-126.495
-190.762,496.337,-298.433
-27.498,105.142,-60.172
-93.703,339.496,-186.749
-93.703,339.496,-186.749
-129.733,421.761,-218.98
-93.703,339.496,-186.749
