hip,dist,x0,y0,z0,mag,absmag,vx,vy,vz,spect
72.0,87.4668,85.283,0.327,-19.421,8.97,4.261,-3.995347549543272e-05,7.981899955122055e-05,-4.296734634000846e-05,G
73.0,327.9135,128.925,0.496,301.505,6.9,-0.679,-3.043119811713457e-05,-3.49525157295775e-05,-2.024928494149968e-07,K
74.0,41.9987,34.084,0.132,24.539,9.93,6.814,1.452221445299472e-06,3.233953981919711e-05,-9.19194813405046e-06,K
75.0,488.8944,311.325,1.213,-376.952,7.42,-1.026,-1.1585045445318603e-05,6.812248076960784e-05,2.5842382888219968e-05,K
76.0,779.5725,655.088,2.609,422.594,9.03,-0.429,-1.9964976799391752e-05,-9.593865759404467e-06,-4.927530540663321e-05,M
77.0,232.8451,201.518,0.811,-116.648,8.41,1.575,2.313327400892539e-06,2.1237204600766783e-05,1.7038034703302255e-06,A
78.0,501.1743,476.997,1.934,153.772,8.06,-0.44,-6.751807029483883e-06,-5.055162397264288e-06,1.2568874339951062e-05,K
79.0,259.9326,212.095,0.873,150.266,8.69,1.616,2.779470031010496e-05,1.5234007499423192e-05,-6.565677238607472e-07,F
80.0,71.1048,69.596,0.295,-14.569,8.4,4.141,-1.7672103221672447e-05,0.0001440930934907,-2.568079768515144e-05,G
81.0,45.0262,44.859,0.191,-3.871,8.57,5.303,-2.911601728709575e-06,-4.08329898918817e-05,-3.768923727015595e-05,G
82.0,1075.6663,1056.122,4.572,-204.067,9.5,-0.658,-0.0001477921674116,-2.9470891119151327e-05,-0.000317510833265,G
83.0,955.2026,587.017,2.542,753.536,8.85,-1.05,8.971046843779555e-06,-1.781630267504373e-05,9.772836712170248e-06,M
84.0,52.8383,46.702,0.206,24.713,9.61,5.995,3.569192143728984e-07,5.741285895610356e-05,-1.1515502446529614e-06,K
86.0,315.4055,109.922,0.5,295.631,8.05,0.556,-4.441547702067328e-06,1.739188584419917e-05,-2.50559333872092e-06,B
87.0,203.4987,202.442,0.924,-20.688,7.8,1.257,3.686801626975068e-06,-7.525984236590714e-06,-1.0873252398890133e-05,F
88.0,149.7938,98.647,0.463,-112.724,5.71,-0.167,6.540109959640931e-06,-1.26823930585625e-05,-1.4379037690782096e-05,G
89.0,424.275,254.344,1.23,339.584,7.87,-0.268,-8.41879361810229e-06,-2.76126612838632e-08,-9.995783384758476e-06,K
90.0,113.4913,84.488,0.413,-75.775,7.64,2.365,-7.991308713781742e-06,1.3847238288278062e-05,-2.8422632681523182e-05,F
91.0,298.0432,296.475,1.452,-30.504,7.66,0.289,9.417962880114674e-06,-1.994043221158388e-05,-8.669352951974382e-06,K
92.0,414.9453,388.139,1.969,-146.71,8.68,0.59,1.2151616347217133e-05,5.357265365532925e-05,2.8589331340385024e-05,G
93.0,63.6542,63.653,0.325,-0.085,8.12,4.101,-3.129434945504496e-06,1.3005563464699566e-05,-1.997724909329569e-05,G
95.0,149.7273,146.473,0.772,-31.038,8.67,2.793,1.179265175052691e-05,-7.4308739588351856e-06,-1.1997189982259227e-05,F
98.0,134.4673,81.3,0.436,-107.105,9.87,4.227,2.7263923598759592e-05,-1.0656441873253872e-06,-3.392368842396393e-05,F
97.0,168.5189,156.894,0.842,-61.5,9.48,3.347,7.701887115880508e-06,1.2533080149397908e-05,-1.5902847517187878e-06,F
100.0,184.1621,173.336,0.957,62.205,8.44,2.114,9.232855780396924e-06,-2.5956924297990068e-05,-2.532796923541318e-05,G
101.0,250.9401,168.579,0.941,-185.879,9.88,2.882,5.3599243625454445e-06,-1.6878494882551046e-05,-4.528476450553565e-06,F
102.0,299.2668,224.178,1.254,-198.251,7.05,-0.33,-8.491404690367265e-06,2.524206317808561e-05,-5.8116470473262735e-05,M
